"cpg","CD8+_105","CD8+_043","CD8+_160","CD8+_261","CD4+_149","CD4+_043","CD4+_160","CD4+_261"
"cg06401614",0.333789329685363,0.564551794522878,0.605989219405071,0.538902882731598,0.620450113747156,0.591369704221665,0.659597692187744,0.631051495528831
"cg03569404",0.710068054443555,0.742421513896392,0.822419661916575,0.777240969228482,0.825289075533567,0.775316145475934,0.824894514767933,0.823438181553822
"cg26803002",0.90371275036639,0.96283255086072,0.954829111046824,0.92104368106506,0.950409547459323,0.97063635961615,0.968029595015576,0.966567164179104
"cg07710391",0.802566633761106,0.777855969974197,0.855182205395173,0.799771602588504,0.87683284457478,0.800823233478161,0.75606825282384,0.73422103861518
"cg17781710",0.411305689138917,0.273498075528532,0.277232114568152,0.257113371664455,0.237307027810288,0.255607423431629,0.263291288459271,0.263232347047035
"cg20635389",0.459392235319563,0.52121470129133,0.532436047483698,0.515698677400805,0.47394773900798,0.414629063628786,0.411225238444608,0.440195479535736
"cg10242901",0.770441537203598,0.83228626058454,0.92157712305026,0.861003861003861,0.897037467325007,0.910072815533981,0.908235294117647,0.918210573881609
"cg05758139",0.903972110712022,0.909160597930242,0.922338898541966,0.92658151463341,0.91980056980057,0.946752722872126,0.936243497820891,0.934516484228253
"cg08113851",0.85125782708997,0.91441538794035,0.918789574436755,0.900330093526499,0.91597699537102,0.913192897600713,0.933248407643312,0.92798353909465
"cg05670219",0.877620940112375,0.901853157417665,0.903309692671395,0.903604041713946,0.910281722226441,0.914478868566215,0.915576157853715,0.917696397813226
"cg06130322",0.348842149989378,0.445795648985578,0.461985216473073,0.434525340879856,0.496747755951607,0.486959525591571,0.478640032997466,0.4549953189782
"cg24884207",0.0942941053073212,0.086204232967712,0.0787888271653235,0.0928243450076528,0.0903874937635124,0.101898021553804,0.0561388653683319,0.0916481892091648
"cg13056269",0.0544278385010038,0.064062077054949,0.0633796338883267,0.0570544767142121,0.062550516389762,0.0570360598065084,0.0619805481874447,0.061625150932427
"cg23295826",0.927943944781426,0.905819063494469,0.927185830756255,0.926532896314653,0.924691358024691,0.951281878743019,0.926480156148341,0.947442726047616
"cg08314996",0.568607875762618,0.728885135135135,0.783912119064493,0.719867493417141,0.789087428206764,0.763686960472512,0.815547263681592,0.81777582085797
"cg10071036",0.63268203637347,0.635461845664963,0.619772651842018,0.621372228010121,0.649810964083176,0.656921658986175,0.656698090786659,0.691678991204172
"cg22801134",0.847514743049705,0.882374699463658,0.886493083807974,0.858732212160414,0.897179788484136,0.892199017199017,0.88667416814017,0.859450726978998
"cg09532502",0.558846186767098,0.590356798457088,0.609127257686475,0.601936026936027,0.647129506008011,0.65594527725222,0.676365492598264,0.650178866263071
"cg23670904",0.766029111030915,0.837325273894975,0.857188729228546,0.835648621041879,0.858908507223114,0.848493057907213,0.855915630674675,0.882406884875847
"cg11588423",0.6430256948086,0.702050186020739,0.720436817472699,0.704805238042393,0.71965811965812,0.715433403805497,0.76,0.732014854477934
"cg07173112",0.516276580215075,0.644776743699676,0.704901248431204,0.650371311703268,0.718679783810044,0.693932282936641,0.746467031012515,0.719456193353474
"cg22512768",0.77703426124197,0.803013539855645,0.832381884412548,0.833683540273798,0.845374607908675,0.850300854037267,0.875626581964365,0.857654472097557
"cg18199472",0.84063679632365,0.892256244121643,0.857243959154787,0.865883254566356,0.877677296525464,0.880732213625212,0.887644902407609,0.905141843971631
"cg03564201",0.580322138774739,0.467287218223993,0.470276344984583,0.493069233342005,0.474313179597626,0.450421726906466,0.458545792602192,0.479383791024782
"cg20945465",0.216684782608696,0.174906964380649,0.21529371918865,0.203202422462837,0.174730643110487,0.208661827527524,0.210546574287914,0.197614874385675
"cg05012125",0.371939820172705,0.214082503556188,0.330991495430775,0.250908618899273,0.166193629769789,0.164010148981849,0.222932527459755,0.141514536849222
"cg07595602",0.590265578175054,0.545755666688316,0.546799634988919,0.603792498538134,0.567788107818875,0.591591941306626,0.571089743589744,0.598314606741573
"cg10777495",0.894582528153528,0.911870592296691,0.95636292796961,0.937210335851692,0.94082332761578,0.94593251503255,0.930162641695417,0.952211377824672
"cg04376997",0.798357223385408,0.828453324147434,0.821512342231654,0.832671019017883,0.824404086265607,0.829434979305034,0.860492010092515,0.85845063490501
"cg17078369",0.766444937176645,0.857678432482139,0.863065577038071,0.881013710012464,0.886541866936504,0.908996708521273,0.870211148154647,0.903585361322683
"cg16194234",0.840201128280598,0.872328852280674,0.90515079876782,0.866908482142857,0.900673751476002,0.878724672228844,0.894831557731068,0.931700950842086
"cg20069765",0.902417678590964,0.900920028308563,0.930042982066103,0.90727983615714,0.92925049745744,0.918570887514203,0.943672575456848,0.943175853018373
"cg13702942",0.163566612415717,0.120104939851549,0.116477083749085,0.147774979009236,0.134653605905735,0.127893479003073,0.126788736728728,0.130766112687475
"cg06981242",0.119294902334445,0.0729276295424998,0.0893122376493381,0.0808371275660995,0.0951017811704835,0.0968015507632663,0.0859611788224673,0.0942610981308411
"cg04386512",0.0500889905924231,0.0624345621865873,0.0598516410933848,0.0626702997275204,0.0692195879905769,0.059729609929078,0.0644867266719836,0.0599521717368333
"cg24453767",0.618900994789199,0.674802025184993,0.674497537601491,0.636981917106737,0.717775272453965,0.699941280093952,0.703945300220057,0.674583427580487
"cg05242244",0.444403551548052,0.533024921653485,0.562310821806347,0.554723721213042,0.514647232662898,0.552713314580403,0.551863157288487,0.550982226379794
"cg01046951",0.750394402908293,0.869612121806502,0.843204653622422,0.825917159763314,0.866407877295967,0.842360767743966,0.884126611957796,0.893862906253911
